Questions,Answers
Why support the Universal Access to Quality Tertiary Education Act?,"This measure is an investment in the future of our youth and in the Filipino family. This measure allows more Filipinos to afford a college education or technical-vocational course, which should open up more opportunities for employment and livelihood. A free tertiary education also relieves parents and breadwinners of a major expense, allowing them to spend on other needs, like healthcare and housing, or set aside more for savings."
Why support the Universal Access to Quality Tertiary Education Act?,"This measure is an investment in the future of our youth and in the Filipino family. This measure allows more Filipinos to afford a college education or technical-vocational course, which should open up more opportunities for employment and livelihood. A free tertiary education also relieves parents and breadwinners of a major expense, allowing them to spend on other needs, like healthcare and housing, or set aside more for savings."
Who will get free tuition in the current version of the law?,"All students who are enrolled or will enroll in State Universities and Colleges (SUCs), accredited Local Universities and Colleges (LUCs), and publicly-run Technical-Vocational Institutions (TVIs) are entitled to a tuition and other fees-free education as long as they fulfill the admission and retention standards of the schools and this measure."
Who will get free tuition in the current version of the law?,"All students who are enrolled or will enroll in State Universities and Colleges (SUCs), accredited Local Universities and Colleges (LUCs), and publicly-run Technical-Vocational Institutions (TVIs) are entitled to a tuition and other fees-free education as long as they fulfill the admission and retention standards of the schools and this measure."
Who are not eligible to a tuition-free post secondary education in SUCs and LUCs?,"Students who already have a bachelor’s degree, or comparable undergraduate degree, who failed to comply with the admission and retention standards of the SUC/LUC,
Students who failed to complete the degree program within a year more after the prescribed period of the program are no longer qualified for the free tuition.
The students in this list can still enroll in their respective schools, but they would have to pay for the tuition and other fees."""
Who are not eligible to a tuition-free post secondary education in SUCs and LUCs?,"Students who already have a bachelor’s degree, or comparable undergraduate degree, who failed to comply with the admission and retention standards of the SUC/LUC,
Students who failed to complete the degree program within a year more after the prescribed period of the program are no longer qualified for the free tuition.
The students in this list can still enroll in their respective schools, but they would have to pay for the tuition and other fees."""
Who are not eligible to a tuition-free post secondary education in state-run TVIs?,"Students who already have a bachelor’s degree or any comparable undergraduate degree or diploma for techvoc courses equivalent to National Certificate (NC) III
Students who failed any course within the techvoc program.
The students in this list can still enroll in their respective schools, but they would have to pay for the tuition and other fees."""
Who are not eligible to a tuition-free post secondary education in state-run TVIs?,"Students who already have a bachelor’s degree or any comparable undergraduate degree or diploma for techvoc courses equivalent to National Certificate (NC) III
Students who failed any course within the techvoc program.
The students in this list can still enroll in their respective schools, but they would have to pay for the tuition and other fees."""
What is StuFAP? What does it cover?,"Student Financial Assistance Programs (StuFAPs) are programs that provide financial assistance to students. StuFAPs come in 3 forms- scholarships, grant-in-aid programs, and student loans.
The Tertiary Education Subsidy (TES) for Filipino Students is a fund that is created to strengthen the StuFAPs. This will be the fund that will be utilized to provide assistance to students in need who are enrolled in higher education institutions. This will be administered by the Unified Financial Assistance System for Tertiary Education (UniFAST).
Accessing this fund is different from the free tuition scheme in SUCs, LUCs, and state-run TVIs."
What is StuFAP? What does it cover?,"Student Financial Assistance Programs (StuFAPs) are programs that provide financial assistance to students. StuFAPs come in 3 forms- scholarships, grant-in-aid programs, and student loans.
The Tertiary Education Subsidy (TES) for Filipino Students is a fund that is created to strengthen the StuFAPs. This will be the fund that will be utilized to provide assistance to students in need who are enrolled in higher education institutions. This will be administered by the Unified Financial Assistance System for Tertiary Education (UniFAST).
Accessing this fund is different from the free tuition scheme in SUCs, LUCs, and state-run TVIs."
What is the loan program?,One of the new features of the bill is the creation of a pool of money for student loans. The student loan program will be available to all Filipinos to supplement other costs that are brought about by studying in a Higher Education Institution (HEI) or TVI or to address unexpected situations to ensure that students will not drop out of school. This pool of money will be facilitated by the UniFAST.
What is the loan program?,One of the new features of the bill is the creation of a pool of money for student loans. The student loan program will be available to all Filipinos to supplement other costs that are brought about by studying in a Higher Education Institution (HEI) or TVI or to address unexpected situations to ensure that students will not drop out of school. This pool of money will be facilitated by the UniFAST.
What is the status of the bill? When will this be rolled out?,"The Universal Access to Quality Tertiary Education Act was signed into law by President Duterte on August 3, 2017. (The bicameral conference report was ratified by both houses last May 30, 2017.)
The legislators intend for the law to be implemented in time for the second semester 2017-2018."
What is the status of the bill? When will this be rolled out?,"The Universal Access to Quality Tertiary Education Act was signed into law by President Duterte on August 3, 2017. (The bicameral conference report was ratified by both houses last May 30, 2017.)
The legislators intend for the law to be implemented in time for the second semester 2017-2018."
Is free tuition is a subsidy for the rich?,"It is true that only 12% of the poorest of the poor are in SUCs. The large percent of the poorest of the poor aren’t in college because of financial and other limitations. But what the bill hopes to do is support the majority of SUC students who may not be of the “poorest of the poor” but still face financial difficulties in paying for a higher education.
These are some estimates based on data from the Annual Poverty Indicator Survey (APIS) 2014:
49% of students in SUCs come from the bottom 50% of the population, from income levels determined by PIDS to need full support (tuition + other educational expenses + living allowance) to finish college.
Up to 71% of students in SUCs come from families that do not have disposable income, with monthly family income of approx. P27,000 or less. Their families are struggling to send their children to school.
On the other hand, only up to 28% of students in SUCs come from families that can COMFORTABLY send ONE child to school, with monthly family income of more than P29,000.
Only up to 17% of students in SUCs come from families with monthly family income higher than P40,000.
Only up to 7% of students in SUCs come from families with monthly family income of more than P78,000.
Based on another report from Philippine Association of State Universities and Colleges (PASUC) providing data from 58 SUCs, 77% of students enrolled in SUCs have family income within the minimum wage range or lower.
Based on APIS 2014, 40.7% of students aged 16 to 17 will not continue their studies because of financial concerns or high cost of education. This is the reason why only 1 out of 4 students who enter college will graduate.
SUC students who can afford the tuition have the option to opt-out of free tuition, and pay the full tuition fee instead."
